 연번 , 구분 , 호선 , 화장실명(역명) , 소재지도로명주소 , 소재지지번주소 , 남녀공용화장실여부 , 남성용-대변기수 , 남성용-소변기수 , 남성용-장애인용대변기수 , 남성용-장애인용소변기수 , 남성용-어린이용대변기수 , 남성용-어린이용소변기수 , 여성용-대변기수 , 여성용-장애인용대변기수 , 여성용-어린이용대변기수 , 관리기관명 , 전화번호 , 개방시간 , 화장실 상세위치 ,화장실 상세위치(게이트 내외부), 위도 , 경도 , 화장실소유구분 , 화장실설치장소유형 , 오물처리방식 , 비상벨 설치유무 , 화장실입구cctv설치유무 , 기저귀교환대설치유무-남자화장실 , 기저귀교환대설치유무-남자장애인화장실 , 기저귀교환대설치유무-여자화장실 , 기저귀교환대설치유무-여자장애인화장실 , 리모델링년월 ,데이터기준일자
1, 공중화장실 ,1,서울(1),서울특별시 중구 봉래동2가 122 서울역(1호선),서울특별시 중구 봉래동2가,N,4,5,1,,2,,9,1,2, 서울교통공사 ,02-6110-1331,05:00~24:00,지하1층 2번출구 부근,외부,37.556878,126.972578, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2015,2023-08-14
2, 공중화장실 ,1,시청(1),서울특별시 중구 정동 5-5 시청역(1호선),서울특별시 중구 정동 5-5,N,6,5,1,,2,,15,1,2, 서울교통공사 ,02-6110-1321,05:00~24:00,지하1층 5번출구 부근,외부,37.565682,126.976849, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2013,2023-08-14
3, 공중화장실 ,1, 종각 ,서울특별시 종로구 종로1가 54 종각지하철역사,서울특별시 종로구 종로1가,N,3,2,1,,1,,6,1,1, 서울교통공사 ,02-6110-1311,05:00~24:00,"지하1층 가게이트 부근 (연결통로 부근, 시청측)",외부,37.570175,126.983226, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2015,2023-08-14
4, 공중화장실 ,1, 종각 ,서울특별시 종로구 종로1가 54 종각지하철역사,서울특별시 종로구 종로1가,N,5,5,1,,,,10,1,, 서울교통공사 ,02-6110-1311,05:00~24:00,지하1층 다게이트 부근 (종로3가측),외부,37.570175,126.983226, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2008이전,2023-08-14
5, 공중화장실 ,1,종로3가(1),서울특별시 종로3가 10-5  1호선 종로3가역(1호선),서울특별시 종로3가 10-5,N,5,6,1,,1,,12,1,1, 서울교통공사 ,02-6110-1301,05:00~24:00,지하1층 가게이트 부근,외부,37.57042,126.992153, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
6, 공중화장실 ,1,종로3가(1),서울특별시 종로3가 10-5  1호선 종로3가역(1호선),서울특별시 종로3가 10-5,N,4,5,,,,,6,,, 서울교통공사 ,02-6110-1301,05:00~24:00,지하1층 라게이트 부근 (역무실앞),내부,37.57042,126.992153, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
7, 공중화장실 ,1,종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,서울특별시 종로구 종로5가,N,4,4,1,,1,,8,1,1, 서울교통공사 ,02-6110-1291,05:00~24:00,지하1층 지하상가 연결통로앞,외부,37.571743,127.011169, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2014,2023-08-14
8, 공중화장실 ,1,동대문(1),서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),서울특별시 종로구 창신동 4,N,4,6,1,,2,,12,1,1, 서울교통공사 ,02-6110-1281,05:00~24:00,지하1층 4번출입구 부근,외부,37.576087,127.02456, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2016,2023-08-14
9, 공중화장실 ,1,동묘앞(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,1,,,,1,1,, 서울교통공사 ,02-6110-1271,05:00~24:00,1층 역무실 부근,외부,37.573281,127.016649, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
10, 공중화장실 ,1,동묘앞(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,1,,,,6,1,, 서울교통공사 ,02-6110-1271,05:00~24:00,지하1층 3번출입구 부근,외부,37.573281,127.016649, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
11, 공중화장실 ,1,동묘앞(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,1,,,,1,1,, 서울교통공사 ,02-6110-1271,05:00~24:00,하선승강장 7-3지점,외부,37.573281,127.016649, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
12, 공중화장실 ,1,동묘앞(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,1,,,,3,1,, 서울교통공사 ,02-6110-1271,05:00~24:00,상선승강장 4-3지점,내부,37.573281,127.016649, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
13, 공중화장실 ,1,신설동(1),서울특별시 동대문구 신설동 76-5 신설동역(1호선), 서울특별시 동대문구 신설동  ,N,6,4,1,,1,,11,1,2, 서울교통공사 ,02-6110-1261,05:00~24:00,대합실(지하1층) 역무실 앞,외부,37.578163,127.034687, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2014,2023-08-14
14, 공중화장실 ,1, 제기동 ,서울특별시 동대문구 제기동 65 제기동역, 서울특별시 동대문구 제기동  ,N,5,6,1,,1,,11,1,1, 서울교통공사 ,02-6110-1251,05:00~24:00,2번출구우측,외부,37.579984,127.045547, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
15, 공중화장실 ,1, 청량리 ,서울특별시 동대문구 전농동 620-69 청량리역, 서울특별시 동대문구 전농동  ,N,2,3,,,,,2,,, 서울교통공사 ,02-6110-1241,05:00~24:00,4번출구 아래,외부,57.580037,127.044727, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
16, 공중화장실 ,2,시청(2),서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문동 9,N,5,4,1,,,,10,1,1, 서울교통공사 ,02-6110-2011,05:00~24:00,"지하1층 9,10번출구 옆",내부,37.563681,126.975598, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
17, 공중화장실 ,2,시청(2),서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문동 9,N,4,5,1,,,,9,1,1, 서울교통공사 ,02-6110-2011,05:00~24:00,지하2층 환승통로,외부,37.563681,126.975598, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2013,2023-08-14
18, 공중화장실 ,2, 을지로입구 ,서울특별시 중구 을지로1가 100-1 을지로입구역,서울특별시 중구 을지로1가,N,5,6,1,,,,11,1,1, 서울교통공사 ,02-6110-2021,05:00~24:00,지하1층 다게이트 옆,외부,37.566171,126.990203, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2009,2023-08-14
19, 공중화장실 ,2,을지로3가(2),서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),서울특별시 중구 을지로3가,N,5,8,1,,1,,13,1,1, 서울교통공사 ,02-6110-2031,05:00~24:00,지하1층 다게이트 옆,외부,37.566489,126.996528, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2009,2023-08-14
20, 공중화장실 ,2,을지로4가(2),서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),서울특별시 중구 을지로4가,N,6,4,1,,2,,11,1,2, 서울교통공사 ,02-6110-2041,05:00~24:00,"지하1층 1,2번 출구 옆",외부,37.565718,127.008485, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2012,2023-08-14
21, 공중화장실 ,2,동대문역사문화공원(2),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),서울특별시 중구 을지로 7가,N,6,8,1,,1,,20,1,1, 서울교통공사 ,02-6110-2051,05:00~24:00,대합실 1층 역무실 앞,내부,37.565281,127.01664, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
22, 공중화장실 ,2,신당(2),서울특별시 중구 신당동 99 신당역(2호선),서울특별시 중구 신당동 99,N,5,6,1,,,,13,1,1, 서울교통공사 ,02-6110-2061,05:00~24:00,"대합실 1층 22,23번기둥",외부,37.563933,127.029793, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
23, 공중화장실 ,2, 상왕십리 ,서울특별시 성동구 하왕십리동 946-14 상왕십리역, 서울특별시 성동구 하왕십리동 ,N,5,6,1,1,2,,11,1,2, 서울교통공사 ,02-6110-2071,05:00~24:00,"대합실 1층 5,6번출구 앞",외부,37.562259,127.037228, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2008이전,2023-08-14
24, 공중화장실 ,2,왕십리(2),서울특별시 성동구 행당동 192 왕십리역(2호선),서울특별시 성동구 행당동 1,N,5,5,1,,1,,10,1,1, 서울교통공사 ,02-6110-2081,05:00~24:00,지하2층 6-1번 출구 쪽,외부,37.555259,127.043658, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2009,2023-08-14
25, 공중화장실 ,2, 한양대 ,서울특별시 성동구 행당동 산17 17 한양대역, 서울특별시 성동구 행당동 산 ,N,5,9,1,,1,,15,1,1, 서울교통공사 ,02-6110-2091,05:00~24:00, 고객센터 맞은편 ,외부,37.547177,127.04738, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
26, 공중화장실 ,2, 뚝섬 ,서울특별시 성동구 성수동1가 656-745 뚝섬역,서울특별시 성동구 성수동1가,N,6,5,1,,2,,12,1,2, 서울교통공사 ,02-6110-2101,05:00~24:00, 역무실 옆 ,외부,37.544601,127.056885, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2012,2023-08-14
27, 공중화장실 ,2, 성수 ,서울특별시 성동구 성수동2가 300-1 성수역,서울특별시 성동구 성수동2가,N,5,4,1,,,,12,1,1, 서울교통공사 ,02-6110-2111,05:00~24:00,대합실 2층 2번출구측,외부,37.558689,127.053172, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
28, 공중화장실 ,2,건대입구(2),서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),서울특별시 광진구 화양동 7,N,7,9,1,,1,,20,1,1, 서울교통공사 ,02-6110-2121,05:00~24:00,대합실 1층 통로 중앙,내부,37.5404075,127.069202, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2009,2023-08-14
29, 공중화장실 ,2, 구의 ,서울특별시 광진구 구의동 245-24 2호선 구의역,서울특별시 광진구 구의동 2,N,3,4,1,,,,7,1,1, 서울교통공사 ,02-6110-2131,05:00~24:00,대합실 1층 통로 중앙,외부,37.5371752,127.08618, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2022,2023-08-14
30, 공중화장실 ,2, 강변 ,서울특별시 광진구 구의동 546-6 2호선 강변역,서울특별시 광진구 구의동 5,N,6,6,1,,1,,14,1,2, 서울교통공사 ,02-6110-2141,05:00~24:00,대합실 1층 통로 중앙,외부,37.53511804,127.09474, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2009,2023-08-14
31, 공중화장실 ,2, 잠실나루 ,서울특별시 송파구 신천동 15 잠실나루역,서울특별시 송파구 신천동 1,N,5,4,1,,2,,9,1,2, 서울교통공사 ,02-6110-2151,05:00~24:00,대합실 1층 통로 중앙,외부,37.52071241,127.1038088, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
32, 공중화장실 ,2,잠실(2),서울특별시 송파구 잠실동 8 잠실역(2호선),서울특별시 송파구 잠실동 8,N,7,8,1,,1,,17,1,1, 서울교통공사 ,02-6110-2161,05:00~24:00,"대합실 1층 1,2번출구 앞",외부,37.513311,127.100231, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2009,2023-08-14
33, 공중화장실 ,2, 잠실새내 ,서울특별시 송파구 잠실동 33 잠실새내역,서울특별시 송파구 잠실동 3,N,5,5,1,,2,,11,1,2, 서울교통공사 ,02-6110-2171,05:00~24:00,대합실 1층 2번출구 앞,외부,37.511626,127.086314, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
34, 공중화장실 ,2, 종합운동장 ,서울특별시 송파구 잠실동 122 종합운동장역,서울특별시 송파구 잠실동 1,N,5,5,1,,2,,10,1,2, 서울교통공사 ,02-6110-2181,05:00~24:00,"대합실 1층 1,2번출구 앞 (잠실새내측)",외부,37.51114466,127.073849, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
35, 공중화장실 ,2, 종합운동장 ,서울특별시 송파구 잠실동 122 종합운동장역,서울특별시 송파구 잠실동 1,N,4,7,,,,,5,,, 서울교통공사 ,02-6110-2181,05:00~24:00,대합실 1층 5번출구 앞 (삼성측),외부,37.51114466,127.073849, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
36, 공중화장실 ,2, 삼성 ,서울특별시 강남구 삼성동 172-66 삼성역,서울특별시 강남구 삼성동 1,N,5,9,1,,,,14,1,, 서울교통공사 ,02-6110-2191,05:00~24:00,대합실 1층 통로 중앙,외부,37.518622,127.1049, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2009,2023-08-14
37, 공중화장실 ,2, 선릉 ,서울특별시 강남구 삼성동 172-66 선릉역,서울특별시 강남구 삼성동 1,N,6,4,1,,2,,11,1,2, 서울교통공사 ,02-6110-2201,05:00~24:00,대합실 1층 1번출구 앞,외부,37.517661,127.074659, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2013,2023-08-14
38, 공중화장실 ,2, 역삼 ,서울특별시 강남구 역삼동 804 역삼역,서울특별시 강남구 역삼동 8,N,4,5,1,,,,10,1,, 서울교통공사 ,02-6110-2211,05:00~24:00,대합실 2층 통로 중앙,외부,57.50067442,127.0364694, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2022,2023-08-14
39, 공중화장실 ,2, 강남 ,서울특별시 강남구 역삼동 858 강남역,서울특별시 강남구 역삼동 8,N,5,4,1,,,,9,1,, 서울교통공사 ,02-6110-2221,05:00~24:00,"대합실 1층 역무실쪽(1,12번출구쪽),게이트내",내부,37.49808634,127.0280014, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2009,2023-08-14
40, 공중화장실 ,2,교대(2),서울특별시 서초구 서초동 1748-4 교대역(2호선),서울특별시 서초구 서초동 1,N,5,5,1,,1,,10,1,1, 서울교통공사 ,02-6110-2231,05:00~24:00,"대합실 1층 1,2,3,4,번출구 쪽",외부,37.4939,127.0143838, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2017,2023-08-14
41, 공중화장실 ,2, 서초 ,서울특별시 서초구 서초동 1748-5 서초역,서울특별시 서초구 서초동 1,N,4,5,1,,1,,9,1,2, 서울교통공사 ,02-6110-2241,05:00~24:00,"대합실1층 (1,2,7,8번 출구쪽),게이트외",외부,37.49184993,127.0076621, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
42, 공중화장실 ,2, 방배 ,서울특별시 서초구 방배동 912-14 방배역,서울특별시 서초구 방배동 9,N,5,4,1,,,,9,1,, 서울교통공사 ,02-6110-2251,05:00~24:00,"서초방면 대합실 끝(1,4번 출구방향),게이트외",외부,37.508826,127.063067, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2009,2023-08-14
43, 공중화장실 ,2,사당(2),서울특별시 동작구 사당동 1129 사당역(2호선),서울특별시 동작구 사당동 1,N,3,4,,,,,6,,, 서울교통공사 ,02-6110-2261,05:00~24:00,"지하1층 대합실 1,2번 출구 쪽(방배측)",외부,37.47656223,126.9815586, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
44, 공중화장실 ,2,사당(2),서울특별시 동작구 사당동 1129 사당역(2호선),서울특별시 동작구 사당동 1,N,6,7,1,,2,,14,1,1, 서울교통공사 ,02-6110-2261,05:00~24:00,"지하1층 대합실 7,8번 출구 쪽(낙성대측)",외부,37.47656223,126.9815586, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2013,2023-08-14
45, 공중화장실 ,2, 낙성대 ,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,서울특별시 관악구 봉천동 1,N,6,5,1,,1,,11,1,2, 서울교통공사 ,02-6110-2271,05:00~24:00,"대합실 1층 고객안내부스앞(3,4,5,6번출구쪽)",외부,37.47709324,126.9635239, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
46, 공중화장실 ,2, 서울대입구 ,서울특별시 관악구 봉천동 979-2 서울대입구역사,서울특별시 관악구 봉천동 9,N,4,4,1,,2,,8,1,2, 서울교통공사 ,02-6110-2281,05:00~24:00,"대합실 1층 (7,8번출구쪽)",외부,37.492765,127.010541, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2018,2023-08-14
47, 공중화장실 ,2, 봉천 ,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,서울툭별시 관악구 봉천동 9,N,3,4,1,,1,,6,1,1, 서울교통공사 ,02-6110-2291,05:00~24:00,"대합실1층, 안내부스맞은편(1,6번출구쪽)게이트외",외부,37.481297,126.99732, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
48, 공중화장실 ,2, 신림 ,서울특별시 관악구 신림동 1467-10 2호선 신림역사,서울특별시 관악구 신림동 1,N,6,7,1,,1,,13,1,2, 서울교통공사 ,02-6110-2301,05:00~24:00,"대합실 1층 역무실 맞은편(3,4번출구쪽),게이트내",내부,37.48426714,126.9297454, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
49, 공중화장실 ,2, 신대방 ,서울특별시 동작구 신대방동 643-1 신대방역 2호선, 서울특별시 동작구 신대방동  ,N,5,4,1,,2,,13,1,2, 서울교통공사 ,02-6110-2311,05:00~24:00,"대합실 1층 역무실쪽(1,2번출구쪽), 게이트내",내부,37.48765046,126.9135075, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2011,2023-08-14
50, 공중화장실 ,2, 구로디지털단지 ,서울특별시 구로구 구로동 810-3 구로디지털단지역,서울특별시 구로구 구로동 8,N,4,6,1,,1,1,10,1,, 서울교통공사 ,02-6110-2321,05:00~24:00,"지상2층, 역무실 앞 (게이트내)",내부,37.477028,126.963396, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2019,2023-08-14
51, 공중화장실 ,2,대림(2),서울특별시 구로구 구로동 1204 대림역(2호선),서울특별시 구로구 구로동 1,N,7,8,1,,,,15,1,, 서울교통공사 ,02-6110-2331,05:00~24:00,"지상2층, 대합실 중앙(게이트내)",내부,37.481113,126.952634, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2019,2023-08-14
52, 공중화장실 ,2, 신도림 ,서울특별시 구로구 신도림동 460-26 2호선 신도림역, 서울특별시 구로구 신도림동  ,N,5,8,1,,2,1,14,1,2, 서울교통공사 ,02-6110-2341,05:00~24:00,"지하1층 대합실 (게이트내, 1번출구방향)",내부,37.482518,126.941481, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2011,2023-08-14
53, 공중화장실 ,2, 신도림 ,서울특별시 구로구 신도림동 460-26 2호선 신도림역, 서울특별시 구로구 신도림동  ,N,8,5,1,,2,1,13,1,2, 서울교통공사 ,02-6110-2341,05:00~24:00,"지하1층 대합실(게이트외,1번출구방향)",외부,37.484178,126.929789, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2011,2023-08-14
54, 공중화장실 ,2, 문래 ,서울특별시 영등포구 문래동3가 68-1문래역,서울특별시 영등포구 문래동3,N,5,7,1,,,,14,1,, 서울교통공사 ,02-6110-2351,05:00~24:00,"지하1층 대합실(게이트외, 2,3번출구방향)",외부,37.48751,126.912991, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2011,2023-08-14
55, 공중화장실 ,2,영등포구청(2),서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),서울특별시 영등포구 당산동3,N,6,6,1,,2,,14,1,1, 서울교통공사 ,02-6110-2361,05:00~24:00,"지하1층 대합실(게이트내, 환승통로입구)",내부,37.485127,126.901529, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2009,2023-08-14
56, 공중화장실 ,2, 당산 ,서울특별시 영등포구 당산동 6가 323-1 당산역, 서울특별시 영등포구 당산동  ,N,5,4,1,,,,10,1,2, 서울교통공사 ,02-6110-2371,05:00~24:00,"지상2층, 대합실 중앙(게이트내)",내부,37.53478432,126.9026118, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,Y,2009,2023-08-14
57, 공중화장실 ,2,합정(2),서울특별시 마포구 서교동 393 합정역(2호선),서울특별시 마포구 서교동 3,N,4,6,1,,,,16,1,1, 서울교통공사 ,02-6110-2381,05:00~24:00,"지하1층대합실, 1,2번출구",내부,37.54991316,126.9144541, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
58, 공중화장실 ,2, 홍대입구 ,서울특별시 마포구 동교동 165 홍대입구역,서울특별시 마포구 동교동 1,N,7,8,1,,1,,21,1,1, 서울교통공사 ,02-6110-2391,05:00~24:00,"지하1층대합실, 2번출구 옆",외부,37.514401,126.882685, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2011,2023-08-14
59, 공중화장실 ,2, 신촌 ,서울특별시 마포구 노고산동 31-11 신촌역, 서울특별시 마포구 노고산동  ,N,5,7,1,,,,12,1,, 서울교통공사 ,02-6110-2401,05:00~24:00,"지하1층대합실, 5번출구 옆",외부,37.512518,126.865711, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
60, 공중화장실 ,2, 이대 ,서울특별시 마포구 염리동 8-85 이대역,서울특별시 마포구 염리동 8,N,6,7,1,,2,,13,1,2, 서울교통공사 ,02-6110-2411,05:00~24:00,지하1층 대합실 5번출구 옆,외부,37.518294,126.853619, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2017,2023-08-14
61, 공중화장실 ,2, 아현 ,서울특별시 마포구 아현동 354-23 아현역,서울특별시 마포구 아현동 3,N,3,3,1,,,,6,1,, 서울교통공사 ,02-6110-2421,05:00~24:00,지하1층 대합실 이대역방면 끝단,외부,37.517887,126.894751, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2009,2023-08-14
62, 공중화장실 ,2,충정로(2),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),서울특별시 서대문구 충정로3,N,4,4,1,,,,8,1,, 서울교통공사 ,02-6110-2431,05:00~24:00,지하2층 아현방면 끝단,외부,37.525656,126.896614, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2018,2023-08-14
63, 공중화장실 ,2,신설동(2),서울특별시 동대문구 신설동 76-5 신설동역(2호선), 서울특별시 동대문구 신설동  ,N,2,3,,,,,3,,, 서울교통공사 ,02-6110-1371,05:00~24:00,대합실(지하1층) 역무실 옆,내부,37.534931,126.90273, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
64, 공중화장실 ,2, 용두 ,서울특별시 동대문구 용두동 47-1 용두역, 서울특별시 동대문구 용두동  ,N,2,3,1,,,,4,1,, 서울교통공사 ,02-6110-1361,05:00~24:00,(내선대합실)5번출구 입구,외부,37.57406213,127.0382757, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
65, 공중화장실 ,2, 용두 ,서울특별시 동대문구 용두동 47-1 용두역, 서울특별시 동대문구 용두동  ,N,3,3,1,,,,6,1,, 서울교통공사 ,02-6110-1361,05:00~24:00,"(외선대합실)1,2번 출구 입구",외부,37.57406213,127.0382757, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
66, 공중화장실 ,2, 용두 ,서울특별시 동대문구 용두동 47-1 용두역, 서울특별시 동대문구 용두동  ,N,1,2,,,,,3,,, 서울교통공사 ,02-6110-1361,05:00~24:00,(내선승강장)3-3 승강장 앞,내부,37.57406213,127.0382757, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
